id,name,nationality,income,debtRatio,creditScore,loanAmount,gender,age,riskProbability,decision,debt_to_income,credit_utilization,payment_history_score,loan_repayment_ratio
LENDING-10019,Mary Thomas,Singapore,43010,0.5144,774,20911,Other,60,0.3157,Reject,0.4861892583120205,0.3,1.0,2.0568122041031036
LENDING-10020,William Smith,Japan,67267,0.4065,685,10751,Female,45,0.3683,Approve,0.15982576895059986,0.3,1.0,6.256813319691192
LENDING-10021,David Miller,France,36217,0.3961,850,5486,Male,38,0.2007,Approve,0.15147582626943148,0.3,1.0,6.601713452424353
LENDING-10022,Patricia Hernandez,United Kingdom,48253,0.2379,747,12987,Other,75,0.2596,Approve,0.2691438874266885,0.3,1.0,3.7154847154847155
LENDING-10023,Linda Rodriguez,Australia,20606,0.1109,643,6112,Female,63,0.3488,Reject,0.29661263709599145,0.3,1.0,3.3714005235602094
LENDING-10024,Barbara Miller,Australia,33286,0.2279,636,15022,Male,53,0.3852,Reject,0.4513008472030283,0.3,1.0,2.215816802023699
LENDING-10025,Jessica Wilson,Germany,55071,0.3001,625,23432,Male,21,0.4079,Reject,0.42548709847288047,0.3,1.0,2.3502475247524752
LENDING-10026,Jessica Thomas,Singapore,24831,0.1624,684,6296,Other,18,0.3174,Approve,0.2535540252104225,0.3,1.0,3.943932655654384
LENDING-10027,Susan Williams,France,35352,0.4887,664,8172,Female,33,0.4318,Reject,0.23116089613034624,0.3,1.0,4.325991189427313
LENDING-10028,Robert Williams,Canada,33511,0.4461,787,5000,Other,30,0.2858,Approve,0.14920473874250245,0.3,1.0,6.7022
LENDING-10029,John Miller,United Kingdom,19054,0.2571,811,7287,Male,36,0.2101,Approve,0.3824393828067597,0.3,1.0,2.6147934678194042
LENDING-10030,Susan Wilson,United States,18700,0.2205,604,5224,Male,44,0.4252,Reject,0.2793582887700535,0.3,1.0,3.5796324655436447
LENDING-10031,Michael Garcia,Singapore,11297,0.3035,777,5000,Male,71,0.265,Approve,0.4425953793042401,0.3,1.0,2.2594
LENDING-10032,Michael Smith,United States,32859,0.3779,654,12325,Other,19,0.4108,Reject,0.37508749505462735,0.3,1.0,2.6660446247464504
LENDING-10033,Susan Taylor,France,45403,0.3973,720,6309,Other,67,0.3383,Approve,0.1389555756227562,0.3,1.0,7.196544618798542
LENDING-10034,Patricia Johnson,Canada,25690,0.3545,734,6753,Other,20,0.3201,Approve,0.2628649279875438,0.3,1.0,3.804235154746039
LENDING-10035,Michael Gonzalez,United Kingdom,20013,0.344,755,9111,Other,37,0.2968,Approve,0.45525408484485086,0.3,1.0,2.196575567994732
LENDING-10036,Linda Johnson,Singapore,60537,0.3368,698,29195,Male,49,0.3366,Approve,0.4822670432958356,0.3,1.0,2.0735399897242677
LENDING-10037,Joseph Gonzalez,Germany,14493,0.1186,732,5000,Female,68,0.2571,Approve,0.3449941350997033,0.3,1.0,2.8986
LENDING-10038,Linda Smith,Germany,35535,0.332,704,16523,Other,64,0.3411,Approve,0.4649781905163923,0.3,1.0,2.1506385039036493
LENDING-10039,James Hernandez,France,32082,0.2537,669,11399,Other,62,0.3575,Approve,0.35530827255158653,0.3,1.0,2.8144574085446092
LENDING-10040,Patricia Smith,Canada,58575,0.0558,769,16917,Other,23,0.1758,Approve,0.288809218950064,0.3,1.0,3.4624933498847312
LENDING-10041,Patricia Jackson,United States,52869,0.3456,675,5499,Other,70,0.3682,Approve,0.10401180275775974,0.3,1.0,9.61429350791053
LENDING-10042,Sarah Davis,United States,46487,0.6761,633,11487,Male,55,0.5163,Reject,0.24710134015961452,0.3,1.0,4.046922608165753
LENDING-10043,Joseph Thomas,Japan,25904,0.1903,715,10446,Male,62,0.2914,Approve,0.4032581840642372,0.3,1.0,2.4798008807198926
LENDING-10044,Thomas Hernandez,Canada,32564,0.3745,665,5000,Female,37,0.3979,Approve,0.15354379068910454,0.3,1.0,6.5128
LENDING-10045,James Smith,United States,38043,0.0609,684,14470,Other,22,0.2803,Approve,0.3803590673711327,0.3,1.0,2.6290946786454734
LENDING-10046,Karen Wilson,Singapore,42888,0.362,671,6970,Other,25,0.3824,Approve,0.16251632158179444,0.3,1.0,6.153228120516499
LENDING-10047,Karen Hernandez,Germany,19830,0.588,734,5000,Other,56,0.393,Reject,0.2521432173474534,0.3,1.0,3.966
LENDING-10048,Elizabeth Brown,France,27904,0.0399,632,5000,Female,50,0.3358,Reject,0.17918577981651376,0.3,1.0,5.5808
LENDING-10049,Susan Lopez,United States,31336,0.1094,681,9283,Male,38,0.3015,Approve,0.2962407454684708,0.3,1.0,3.3756328773025963
LENDING-10050,Barbara Martin,Germany,37018,0.2457,793,15525,Male,27,0.2174,Approve,0.4193905667513102,0.3,1.0,2.384412238325282
LENDING-10051,Charles Gonzalez,United States,50914,0.317,756,8914,Other,27,0.2722,Approve,0.17507954590093097,0.3,1.0,5.711689477226834
LENDING-10052,Elizabeth Rodriguez,Australia,78852,0.3752,616,30975,Male,42,0.4284,Reject,0.3928245320346979,0.3,1.0,2.545665859564165
LENDING-10053,David Jackson,United States,17096,0.0728,662,7504,Female,30,0.3184,Approve,0.43893308376228357,0.3,1.0,2.2782515991471217
LENDING-10054,Sarah Brown,Australia,54435,0.3777,800,15798,Male,49,0.2406,Approve,0.29021769082391846,0.3,1.0,3.445689327763008
LENDING-10055,Sarah Johnson,Japan,17689,0.2902,794,5000,Female,70,0.2393,Approve,0.28266154107072194,0.3,1.0,3.5378
LENDING-10056,Karen Brown,Australia,21632,0.3707,751,7692,Male,71,0.3084,Approve,0.3555843195266272,0.3,1.0,2.812272490899636
LENDING-10057,Susan Martin,Japan,26037,0.0912,664,11762,Other,43,0.3173,Approve,0.45174175212198026,0.3,1.0,2.213654140452304
LENDING-10058,Thomas Gonzalez,Australia,35434,0.4319,517,9727,Female,42,0.5751,Reject,0.27451035728396456,0.3,1.0,3.6428497995270894
LENDING-10059,Joseph Martin,France,22846,0.4308,601,8857,Other,43,0.4895,Reject,0.38768274533835245,0.3,1.0,2.579428700462911
LENDING-10060,Michael Martinez,France,24472,0.0457,701,9209,Male,33,0.264,Approve,0.3763076168682576,0.3,1.0,2.6574003692040393
LENDING-10061,Susan Smith,United States,35992,0.4272,643,5792,Other,38,0.436,Reject,0.16092464992220493,0.3,1.0,6.214088397790055
LENDING-10062,Jessica Anderson,Australia,46172,0.2492,725,16907,Male,56,0.288,Approve,0.36617430477345575,0.3,1.0,2.730939847400485
LENDING-10063,Mary Garcia,United States,32754,0.3237,759,5000,Male,74,0.28,Approve,0.1526531110704036,0.3,1.0,6.5508
LENDING-10064,Sarah Jones,France,38958,0.5127,706,8617,Other,51,0.3914,Reject,0.22118691924636788,0.3,1.0,4.521063014970407
LENDING-10065,Richard Taylor,Singapore,51474,0.5288,579,7286,Other,27,0.5285,Reject,0.14154718887205192,0.3,1.0,7.064781773263793
LENDING-10066,Charles Anderson,Japan,38510,0.2475,743,10363,Female,48,0.2717,Approve,0.2690989353414697,0.3,1.0,3.7161053748914408
LENDING-10067,William Garcia,Singapore,52317,0.2794,850,5692,Male,69,0.1577,Approve,0.10879828736357207,0.3,1.0,9.19132115249473
LENDING-10068,Elizabeth Davis,Singapore,30985,0.3459,850,14937,Other,56,0.1883,Approve,0.48207197030821364,0.3,1.0,2.0743790587132622
LENDING-10069,Joseph Miller,United Kingdom,29757,0.4912,759,12889,Other,27,0.3318,Approve,0.433141781765635,0.3,1.0,2.308712855923656
LENDING-10070,Mary Jackson,Germany,28440,0.4791,709,5000,Other,37,0.3833,Reject,0.17580872011251758,0.3,1.0,5.688
LENDING-10071,Karen Thomas,United States,46843,0.3238,678,6599,Female,76,0.3614,Approve,0.14087483722221036,0.3,1.0,7.098499772692832
LENDING-10072,James Smith,Japan,56080,0.3584,697,18844,Female,55,0.3464,Approve,0.33601997146932955,0.3,1.0,2.9760135852260667
LENDING-10073,David Martinez,France,22397,0.1792,768,5000,Male,49,0.232,Approve,0.22324418448899405,0.3,1.0,4.4794
LENDING-10074,James Hernandez,United States,41223,0.268,721,12681,Female,58,0.3005,Approve,0.3076195327850957,0.3,1.0,3.2507688668086114
LENDING-10075,Richard Smith,United Kingdom,61821,0.3255,677,29768,Male,35,0.3555,Approve,0.4815192248588667,0.3,1.0,2.0767602794947595
LENDING-10076,Charles Miller,Canada,48001,0.3425,772,20369,Male,71,0.2638,Approve,0.42434532613903875,0.3,1.0,2.356571260248417
LENDING-10077,Jennifer Thomas,United Kingdom,20282,0.2511,598,8942,Female,20,0.4401,Reject,0.44088354205699637,0.3,1.0,2.2681726683068666
LENDING-10078,Linda Davis,United States,29801,0.5084,723,7129,Other,45,0.3762,Approve,0.2392201603973021,0.3,1.0,4.180249684387713
LENDING-10079,William Jackson,France,38769,0.369,838,8769,Male,36,0.2044,Approve,0.226185870153989,0.3,1.0,4.42114266164899
LENDING-10080,Linda Gonzalez,Japan,19610,0.2781,589,5000,Male,48,0.4584,Reject,0.25497195308516063,0.3,1.0,3.922
LENDING-10081,Karen Thomas,United States,79602,0.1428,675,31653,Male,46,0.2939,Approve,0.3976407627949046,0.3,1.0,2.514832717277983
LENDING-10082,Robert Jackson,Japan,34372,0.4158,746,5000,Male,69,0.321,Approve,0.14546724077737694,0.3,1.0,6.8744
LENDING-10083,Richard Martinez,France,73169,0.3734,728,25733,Other,31,0.3085,Approve,0.3516926567262092,0.3,1.0,2.843391753779194
LENDING-10084,Sarah Thomas,United Kingdom,26492,0.3217,805,7037,Male,66,0.2324,Approve,0.2656273592027782,0.3,1.0,3.7646724456444507
LENDING-10085,Robert Hernandez,United Kingdom,35073,0.1335,744,5600,Female,71,0.2381,Approve,0.15966698029823512,0.3,1.0,6.2630357142857145
LENDING-10086,Joseph Brown,United States,10752,0.2738,669,5000,Other,47,0.3742,Approve,0.4650297619047619,0.3,1.0,2.1504
LENDING-10087,James Jones,Canada,17765,0.2486,831,5000,Other,62,0.1864,Approve,0.28145229383619474,0.3,1.0,3.553
LENDING-10088,Susan Wilson,Germany,56993,0.3933,814,27584,Male,54,0.2288,Approve,0.48398926183917323,0.3,1.0,2.066161542923434
LENDING-10089,Linda Anderson,France,34650,0.1752,695,10651,Male,47,0.3043,Approve,0.3073881673881674,0.3,1.0,3.2532156605013616
LENDING-10090,Linda Moore,Canada,91979,0.0593,719,27892,Male,69,0.2147,Approve,0.3032431315843834,0.3,1.0,3.2976839237057223
LENDING-10091,Karen Thomas,Canada,17226,0.5546,706,5000,Female,23,0.4149,Reject,0.2902589109485661,0.3,1.0,3.4452
LENDING-10092,Patricia Wilson,United States,20203,0.2889,473,6719,Female,26,0.5878,Reject,0.3325743701430481,0.3,1.0,3.0068462568834646
LENDING-10093,James Garcia,United States,30041,0.2952,697,8910,Female,64,0.3404,Approve,0.2965946539729037,0.3,1.0,3.371604938271605
LENDING-10094,John Taylor,France,28784,0.3973,642,11554,Female,61,0.4317,Reject,0.4014035575319622,0.3,1.0,2.4912584386359704
LENDING-10095,Charles Smith,France,51425,0.1686,640,21269,Male,52,0.354,Reject,0.4135926105979582,0.3,1.0,2.417838168226057
LENDING-10096,Richard Rodriguez,Germany,48220,0.389,650,19496,Other,41,0.4108,Reject,0.4043135628369971,0.3,1.0,2.473327862125564
LENDING-10097,Richard Lopez,Singapore,71004,0.2081,611,18980,Female,21,0.3877,Reject,0.26730888400653485,0.3,1.0,3.740990516332982
LENDING-10098,Karen Jackson,United States,17610,0.155,747,5000,Male,77,0.2501,Approve,0.2839295854628052,0.3,1.0,3.522
LENDING-10099,Barbara Jones,United Kingdom,43570,0.4814,798,12728,Female,27,0.2794,Approve,0.2921276107413358,0.3,1.0,3.42316153362665
LENDING-10100,Linda Rodriguez,United Kingdom,31165,0.3661,662,5000,Other,47,0.3993,Approve,0.16043638697256538,0.3,1.0,6.233
LENDING-10101,Robert Johnson,Singapore,58908,0.4579,776,6832,Other,56,0.2886,Approve,0.11597745637264888,0.3,1.0,8.622365339578455
LENDING-10102,Susan Brown,Singapore,28989,0.3076,833,6799,Male,37,0.1963,Approve,0.23453723826278933,0.3,1.0,4.263715252242977
LENDING-10103,Richard Jones,United States,47555,0.6473,645,19737,Male,43,0.494,Reject,0.4150352223740932,0.3,1.0,2.4094340578608704
LENDING-10104,Karen Davis,United Kingdom,43633,0.2648,700,5000,Male,63,0.3213,Approve,0.11459216647949946,0.3,1.0,8.7266
LENDING-10105,Richard Williams,Germany,45092,0.175,647,18694,Other,40,0.3514,Reject,0.4145746473875632,0.3,1.0,2.4121108377019365
LENDING-10106,Elizabeth Jackson,France,33433,0.1454,639,7439,Female,66,0.3571,Reject,0.22250471091436605,0.3,1.0,4.494286866514316
LENDING-10107,David Rodriguez,Germany,21771,0.0107,618,9628,Female,22,0.3454,Reject,0.4422396766340545,0.3,1.0,2.2612172829248025
LENDING-10108,Charles Smith,Australia,28130,0.3666,747,5000,Female,35,0.3083,Approve,0.17774617845716317,0.3,1.0,5.626
LENDING-10109,Michael Brown,United States,70384,0.5198,809,30565,Male,66,0.2655,Reject,0.4342606274153217,0.3,1.0,2.302764600032717
LENDING-10110,Thomas Thomas,Canada,34273,0.3276,674,16966,Other,36,0.3731,Approve,0.49502523852595337,0.3,1.0,2.0200990215725567
LENDING-10111,Jessica Jones,Australia,10903,0.4283,668,5000,Other,55,0.4216,Reject,0.45858937906998076,0.3,1.0,2.1806
LENDING-10112,Thomas Jackson,Singapore,48888,0.3552,710,16692,Other,55,0.3348,Approve,0.34143348060873835,0.3,1.0,2.9288281811646297
LENDING-10113,Thomas Brown,United Kingdom,27624,0.2818,718,12981,Female,19,0.3147,Approve,0.46991746307558646,0.3,1.0,2.128033279408366
LENDING-10114,James Hernandez,Germany,85930,0.4775,615,16917,Female,24,0.4566,Reject,0.19686954497847084,0.3,1.0,5.079505822545369
LENDING-10115,Susan Martin,Singapore,128546,0.4708,684,62015,Female,19,0.3581,Reject,0.4824343036733932,0.3,1.0,2.07282109167137
LENDING-10116,Linda Anderson,Singapore,57424,0.5046,609,22332,Other,43,0.4856,Reject,0.38889662858735025,0.3,1.0,2.571377395665413
LENDING-10117,David Anderson,Australia,25434,0.6806,570,5000,Other,55,0.5969,Reject,0.1965872454195172,0.3,1.0,5.0868
LENDING-10118,Richard Jones,Germany,40069,0.2234,784,14411,Other,57,0.219,Approve,0.3596545958222067,0.3,1.0,2.7804454930261606
LENDING-10119,Mary Lopez,Japan,30913,0.3639,697,6248,Male,75,0.3606,Approve,0.20211561478989423,0.3,1.0,4.947663252240717
LENDING-10120,Mary Rodriguez,United States,33771,0.1628,631,16578,Male,47,0.3709,Reject,0.4908945544994226,0.3,1.0,2.0370973579442633
LENDING-10121,Joseph Williams,Australia,36827,0.4099,511,16375,Other,41,0.5744,Reject,0.44464659081652047,0.3,1.0,2.248977099236641
LENDING-10122,Sarah Williams,United States,37661,0.2253,619,6434,Male,30,0.4008,Reject,0.17083986086402378,0.3,1.0,5.853434877214797
LENDING-10123,Thomas Taylor,United Kingdom,34760,0.0167,622,16558,Female,39,0.3364,Reject,0.47635212888377443,0.3,1.0,2.099287353545114
LENDING-10124,Michael Thomas,France,22683,0.3149,786,8477,Male,67,0.2529,Approve,0.37371599876559536,0.3,1.0,2.6758287129880856
LENDING-10125,Michael Gonzalez,Australia,8560,0.4847,850,5000,Male,53,0.2411,Approve,0.5841121495327103,0.3,1.0,1.712
LENDING-10126,Sarah Hernandez,Canada,122637,0.3135,678,46443,Other,34,0.3204,Approve,0.37870300154113357,0.3,1.0,2.6405916930430853
LENDING-10127,Jessica Brown,Australia,30330,0.2784,832,6733,Male,31,0.188,Approve,0.22199142762940982,0.3,1.0,4.50467844942819
LENDING-10128,Elizabeth Brown,Singapore,20569,0.5097,667,5165,Other,55,0.4423,Reject,0.2511060333511595,0.3,1.0,3.982381413359148
LENDING-10129,Linda Johnson,France,27440,0.2027,616,9525,Female,69,0.4024,Reject,0.3471209912536443,0.3,1.0,2.8808398950131235
LENDING-10130,Barbara Wilson,Singapore,50527,0.4269,764,24272,Female,34,0.2966,Approve,0.480376828230451,0.3,1.0,2.0816990771259065
LENDING-10131,Sarah Garcia,Japan,57008,0.3086,783,17606,Male,58,0.2372,Approve,0.30883384788099916,0.3,1.0,3.237987049869363
LENDING-10132,Michael Hernandez,Australia,48264,0.647,667,9491,Female,69,0.4696,Reject,0.19664760484004642,0.3,1.0,5.085238647139395
LENDING-10133,Sarah Martin,Germany,43606,0.3112,754,13410,Other,75,0.2763,Approve,0.3075264871806632,0.3,1.0,3.251752423564504
LENDING-10134,John Lopez,Japan,28063,0.2735,716,10314,Other,49,0.3142,Approve,0.3675301999073513,0.3,1.0,2.7208648439014933
LENDING-10135,Charles Gonzalez,Canada,79857,0.5147,676,38747,Other,67,0.4043,Reject,0.4852048035864107,0.3,1.0,2.0609853666090276
LENDING-10136,Michael Williams,Germany,10096,0.1515,735,5000,Other,37,0.2659,Approve,0.49524564183835185,0.3,1.0,2.0192
LENDING-10137,Mary Thomas,Australia,20902,0.2536,544,9283,Other,33,0.4994,Reject,0.4441201798870921,0.3,1.0,2.2516427878918455
LENDING-10138,Jennifer Jones,Germany,39415,0.2852,659,6990,Other,74,0.3742,Approve,0.17734365089432957,0.3,1.0,5.638769670958512
LENDING-10139,Karen Anderson,Australia,27920,0.0528,684,5644,Male,43,0.283,Approve,0.2021489971346705,0.3,1.0,4.946846208362863
LENDING-10140,James Rodriguez,France,43606,0.372,557,15965,Male,68,0.5094,Reject,0.36611934137504015,0.3,1.0,2.731349827748199
LENDING-10141,Richard Rodriguez,Singapore,40971,0.1758,769,14578,Male,65,0.2206,Approve,0.3558126479705157,0.3,1.0,2.8104678282343256
LENDING-10142,Sarah Anderson,Australia,34304,0.6633,733,8823,Male,67,0.4095,Reject,0.2572003264925373,0.3,1.0,3.8880199478635387
LENDING-10143,Joseph Rodriguez,Canada,22538,0.6332,740,5200,Male,74,0.3987,Reject,0.23072144822078267,0.3,1.0,4.3342307692307696
LENDING-10144,Karen Johnson,Australia,32241,0.3597,636,6648,Other,70,0.4252,Reject,0.20619707825439657,0.3,1.0,4.849729241877256
LENDING-10145,Elizabeth Martin,Australia,26213,0.2049,713,11998,Female,50,0.2978,Approve,0.4577118223782093,0.3,1.0,2.184780796799467
LENDING-10146,Susan Lopez,United Kingdom,43933,0.3485,726,13952,Male,66,0.3179,Approve,0.3175744884255571,0.3,1.0,3.1488675458715596
LENDING-10147,Patricia Taylor,Germany,27372,0.2796,690,13598,Female,33,0.3447,Approve,0.49678503580301037,0.3,1.0,2.012943079864686
LENDING-10148,Jessica Thomas,Germany,65769,0.4446,850,18120,Male,55,0.2005,Approve,0.27550973863066186,0.3,1.0,3.629635761589404
LENDING-10149,Karen Jones,Japan,24573,0.3061,742,5000,Female,26,0.2974,Approve,0.20347535913400888,0.3,1.0,4.9146
LENDING-10150,Susan Thomas,Japan,81082,0.1894,785,15103,Male,59,0.1872,Approve,0.18626822229348067,0.3,1.0,5.368602264450772
LENDING-10151,Susan Thomas,Australia,46615,0.4349,553,14266,Female,64,0.5312,Reject,0.30603882870320714,0.3,1.0,3.267559231739801
LENDING-10152,Linda Martin,Australia,33615,0.1803,735,6158,Female,32,0.2627,Approve,0.1831920273687342,0.3,1.0,5.458752841831764
LENDING-10153,Jessica Garcia,Australia,55592,0.2865,743,15057,Other,25,0.2749,Approve,0.27084832349978416,0.3,1.0,3.6921033406389054
LENDING-10154,Elizabeth Garcia,France,117246,0.1905,694,26321,Male,20,0.2687,Approve,0.22449379936202515,0.3,1.0,4.454466015728886
LENDING-10155,Robert Johnson,Germany,63121,0.4467,611,10853,Female,28,0.4632,Reject,0.17193960805437175,0.3,1.0,5.815995577259744
LENDING-10156,Jessica Anderson,Canada,28327,0.2152,696,8982,Female,24,0.3184,Approve,0.31708264200232994,0.3,1.0,3.1537519483411267
LENDING-10157,Susan Wilson,Germany,36887,0.3559,727,16090,Male,52,0.3225,Approve,0.4361970341854854,0.3,1.0,2.292541951522685
LENDING-10158,Sarah Williams,Australia,63073,0.419,601,10638,Male,59,0.4658,Reject,0.16866170944778272,0.3,1.0,5.929028012784358
LENDING-10159,Charles Taylor,Canada,31932,0.1754,656,13285,Other,68,0.3483,Reject,0.41604033571339094,0.3,1.0,2.403613097478359
LENDING-10160,Thomas Anderson,Canada,54498,0.2714,615,14089,Other,65,0.4105,Reject,0.25852324855958014,0.3,1.0,3.868124068422173
LENDING-10161,Mary Williams,Singapore,12280,0.1034,673,5749,Male,33,0.318,Approve,0.4681596091205212,0.3,1.0,2.13602365628805
LENDING-10162,Barbara Lopez,Canada,21723,0.3124,667,8261,Other,52,0.3825,Approve,0.38028817382497815,0.3,1.0,2.6295847960295364
LENDING-10163,Elizabeth Jones,Singapore,94617,0.1415,666,40954,Female,27,0.2959,Approve,0.4328397645243455,0.3,1.0,2.310323777897153
LENDING-10164,Sarah Johnson,United Kingdom,39853,0.4539,729,6619,Other,37,0.3482,Approve,0.1660853637116403,0.3,1.0,6.021000151080224
LENDING-10165,Charles Anderson,France,45595,0.4193,690,6254,Other,70,0.3775,Reject,0.13716416273714224,0.3,1.0,7.29053405820275
LENDING-10166,David Gonzalez,Germany,26523,0.2592,788,5000,Female,59,0.2321,Approve,0.18851562794555668,0.3,1.0,5.3046
LENDING-10167,Charles Taylor,Germany,27559,0.4819,593,8388,Other,44,0.5112,Reject,0.30436518015893177,0.3,1.0,3.285526943252265
LENDING-10168,Jessica Hernandez,France,68717,0.2845,751,27088,Male,61,0.259,Approve,0.3941964870410524,0.3,1.0,2.5368059657412876
LENDING-10169,Jessica Anderson,Germany,44326,0.1848,671,20958,Female,49,0.3285,Approve,0.4728150521138835,0.3,1.0,2.1149918885389827
LENDING-10170,Mary Jackson,United States,20808,0.3051,664,8003,Female,65,0.384,Approve,0.38461168781237987,0.3,1.0,2.600024990628514
LENDING-10171,Patricia Miller,France,28538,0.3644,579,12465,Female,71,0.4907,Reject,0.4367860396664097,0.3,1.0,2.2894504612916164
LENDING-10172,William Smith,Singapore,30724,0.3213,653,7414,Male,24,0.3959,Reject,0.24130972529618538,0.3,1.0,4.144051793903426
LENDING-10173,John Moore,France,78901,0.4585,719,33112,Male,42,0.341,Approve,0.4196651499980989,0.3,1.0,2.382852138197632
LENDING-10174,William Jones,France,64404,0.2647,738,11287,Female,24,0.2694,Approve,0.1752530898701944,0.3,1.0,5.706033489855586
LENDING-10175,Joseph Johnson,United States,62512,0.4588,776,29923,Other,33,0.2871,Approve,0.4786760941899155,0.3,1.0,2.08909534471811
LENDING-10176,Jessica Wilson,Australia,32420,0.4371,738,6560,Female,71,0.3371,Approve,0.202344231955583,0.3,1.0,4.942073170731708
LENDING-10177,Robert Gonzalez,United States,61960,0.3931,791,22089,Male,53,0.2513,Approve,0.35650419625564883,0.3,1.0,2.8050160713477297
LENDING-10178,William Lopez,Germany,45326,0.4247,689,22306,Female,32,0.3804,Reject,0.49212372589683623,0.3,1.0,2.0320093248453333
LENDING-10179,Jessica Jones,Singapore,26576,0.2207,699,12682,Male,46,0.3176,Approve,0.4771974714027694,0.3,1.0,2.095568522315092
LENDING-10180,James Taylor,Japan,40720,0.3766,743,7453,Male,59,0.3093,Approve,0.1830304518664047,0.3,1.0,5.463571716087482
LENDING-10181,Michael Rodriguez,Japan,27535,0.4721,689,5484,Other,75,0.4035,Reject,0.1991646994733975,0.3,1.0,5.0209700948212985
LENDING-10182,John Williams,Singapore,100133,0.5318,792,34064,Other,35,0.2727,Reject,0.3401875505577582,0.3,1.0,2.939554955378112
LENDING-10183,Patricia Wilson,Australia,39996,0.1582,836,18094,Female,54,0.1427,Approve,0.4523952395239524,0.3,1.0,2.2104565049187577
LENDING-10184,Robert Williams,Canada,23982,0.3408,498,5000,Male,44,0.5742,Reject,0.20848970060878994,0.3,1.0,4.7964
LENDING-10185,Barbara Taylor,Canada,124844,0.3145,678,15830,Female,51,0.3196,Approve,0.12679824420877256,0.3,1.0,7.8865445356917245
LENDING-10186,Elizabeth Anderson,United States,28090,0.4299,707,12161,Other,71,0.3709,Reject,0.4329298682805269,0.3,1.0,2.3098429405476524
LENDING-10187,Mary Davis,Australia,35069,0.2478,755,6659,Female,58,0.2604,Approve,0.1898828024751205,0.3,1.0,5.26640636732242
LENDING-10188,Richard Moore,United States,24868,0.4258,764,7598,Other,61,0.3091,Approve,0.3055332153771916,0.3,1.0,3.2729665701500394
LENDING-10189,Patricia Wilson,Germany,20569,0.0114,735,8099,Female,63,0.2186,Approve,0.39374787301278624,0.3,1.0,2.5396962587973824
LENDING-10190,Jennifer Thomas,United Kingdom,23340,0.2327,787,8300,Male,21,0.2269,Approve,0.3556126820908312,0.3,1.0,2.8120481927710843
LENDING-10191,John Jackson,Japan,32156,0.0269,677,11532,Male,39,0.2807,Approve,0.3586266948625451,0.3,1.0,2.7884148456468956
LENDING-10192,Mary Miller,Japan,21091,0.3097,735,5000,Other,72,0.3078,Approve,0.23706794367265657,0.3,1.0,4.2182
