id,name,nationality,income,debtRatio,creditScore,loanAmount,gender,age,riskProbability,decision
LENDING-10021,"David Miller",France,36217,0.3961,850,5486,Male,38,0.2007,Approve
LENDING-10022,"Patricia Hernandez",United Kingdom,48253,0.2379,747,12987,Other,75,0.2596,Approve
LENDING-10023,"Linda Rodriguez",Australia,20606,0.1109,643,6112,Female,63,0.3488,Reject
LENDING-10024,"Barbara Miller",Australia,33286,0.2279,636,15022,Male,53,0.3852,Reject
LENDING-10025,"Jessica Wilson",Germany,55071,0.3001,625,23432,Male,21,0.4079,Reject
LENDING-10026,"Jessica Thomas",Singapore,24831,0.1624,684,6296,Other,18,0.3174,Approve
LENDING-10027,"Susan Williams",France,35352,0.4887,664,8172,Female,33,0.4318,Reject
LENDING-10028,"Robert Williams",Canada,33511,0.4461,787,5000,Other,30,0.2858,Approve
LENDING-10029,"John Miller",United Kingdom,19054,0.2571,811,7287,Male,36,0.2101,Approve
LENDING-10030,"Susan Wilson",United States,18700,0.2205,604,5224,Male,44,0.4252,Reject
LENDING-10031,"Michael Garcia",Singapore,11297,0.3035,777,5000,Male,71,0.2650,Approve
LENDING-10032,"Michael Smith",United States,32859,0.3779,654,12325,Other,19,0.4108,Reject
LENDING-10033,"Susan Taylor",France,45403,0.3973,720,6309,Other,67,0.3383,Approve
LENDING-10034,"Patricia Johnson",Canada,25690,0.3545,734,6753,Other,20,0.3201,Approve
LENDING-10035,"Michael Gonzalez",United Kingdom,20013,0.3440,755,9111,Other,37,0.2968,Approve
LENDING-10036,"Linda Johnson",Singapore,60537,0.3368,698,29195,Male,49,0.3366,Approve
LENDING-10037,"Joseph Gonzalez",Germany,14493,0.1186,732,5000,Female,68,0.2571,Approve
LENDING-10038,"Linda Smith",Germany,35535,0.3320,704,16523,Other,64,0.3411,Approve
LENDING-10039,"James Hernandez",France,32082,0.2537,669,11399,Other,62,0.3575,Approve
LENDING-10040,"Patricia Smith",Canada,58575,0.0558,769,16917,Other,23,0.1758,Approve
LENDING-10041,"Patricia Jackson",United States,52869,0.3456,675,5499,Other,70,0.3682,Approve
LENDING-10042,"Sarah Davis",United States,46487,0.6761,633,11487,Male,55,0.5163,Reject
LENDING-10043,"Joseph Thomas",Japan,25904,0.1903,715,10446,Male,62,0.2914,Approve
LENDING-10044,"Thomas Hernandez",Canada,32564,0.3745,665,5000,Female,37,0.3979,Approve
LENDING-10045,"James Smith",United States,38043,0.0609,684,14470,Other,22,0.2803,Approve
LENDING-10046,"Karen Wilson",Singapore,42888,0.3620,671,6970,Other,25,0.3824,Approve
LENDING-10047,"Karen Hernandez",Germany,19830,0.5880,734,5000,Other,56,0.3930,Reject
LENDING-10048,"Elizabeth Brown",France,27904,0.0399,632,5000,Female,50,0.3358,Reject
LENDING-10049,"Susan Lopez",United States,31336,0.1094,681,9283,Male,38,0.3015,Approve
LENDING-10050,"Barbara Martin",Germany,37018,0.2457,793,15525,Male,27,0.2174,Approve
LENDING-10051,"Charles Gonzalez",United States,50914,0.3170,756,8914,Other,27,0.2722,Approve
LENDING-10052,"Elizabeth Rodriguez",Australia,78852,0.3752,616,30975,Male,42,0.4284,Reject
LENDING-10053,"David Jackson",United States,17096,0.0728,662,7504,Female,30,0.3184,Approve
LENDING-10054,"Sarah Brown",Australia,54435,0.3777,800,15798,Male,49,0.2406,Approve
LENDING-10055,"Sarah Johnson",Japan,17689,0.2902,794,5000,Female,70,0.2393,Approve
LENDING-10056,"Karen Brown",Australia,21632,0.3707,751,7692,Male,71,0.3084,Approve
LENDING-10057,"Susan Martin",Japan,26037,0.0912,664,11762,Other,43,0.3173,Approve
LENDING-10058,"Thomas Gonzalez",Australia,35434,0.4319,517,9727,Female,42,0.5751,Reject
LENDING-10059,"Joseph Martin",France,22846,0.4308,601,8857,Other,43,0.4895,Reject
LENDING-10060,"Michael Martinez",France,24472,0.0457,701,9209,Male,33,0.2640,Approve
LENDING-10061,"Susan Smith",United States,35992,0.4272,643,5792,Other,38,0.4360,Reject
LENDING-10062,"Jessica Anderson",Australia,46172,0.2492,725,16907,Male,56,0.2880,Approve
LENDING-10063,"Mary Garcia",United States,32754,0.3237,759,5000,Male,74,0.2800,Approve
LENDING-10064,"Sarah Jones",France,38958,0.5127,706,8617,Other,51,0.3914,Reject
LENDING-10065,"Richard Taylor",Singapore,51474,0.5288,579,7286,Other,27,0.5285,Reject
LENDING-10066,"Charles Anderson",Japan,38510,0.2475,743,10363,Female,48,0.2717,Approve
LENDING-10067,"William Garcia",Singapore,52317,0.2794,850,5692,Male,69,0.1577,Approve
LENDING-10068,"Elizabeth Davis",Singapore,30985,0.3459,850,14937,Other,56,0.1883,Approve
LENDING-10069,"Joseph Miller",United Kingdom,29757,0.4912,759,12889,Other,27,0.3318,Approve
LENDING-10070,"Mary Jackson",Germany,28440,0.4791,709,5000,Other,37,0.3833,Reject
LENDING-10071,"Karen Thomas",United States,46843,0.3238,678,6599,Female,76,0.3614,Approve
LENDING-10072,"James Smith",Japan,56080,0.3584,697,18844,Female,55,0.3464,Approve
LENDING-10073,"David Martinez",France,22397,0.1792,768,5000,Male,49,0.2320,Approve
LENDING-10074,"James Hernandez",United States,41223,0.2680,721,12681,Female,58,0.3005,Approve
LENDING-10075,"Richard Smith",United Kingdom,61821,0.3255,677,29768,Male,35,0.3555,Approve
LENDING-10076,"Charles Miller",Canada,48001,0.3425,772,20369,Male,71,0.2638,Approve
LENDING-10077,"Jennifer Thomas",United Kingdom,20282,0.2511,598,8942,Female,20,0.4401,Reject
LENDING-10078,"Linda Davis",United States,29801,0.5084,723,7129,Other,45,0.3762,Approve
LENDING-10079,"William Jackson",France,38769,0.3690,838,8769,Male,36,0.2044,Approve
LENDING-10080,"Linda Gonzalez",Japan,19610,0.2781,589,5000,Male,48,0.4584,Reject
LENDING-10081,"Karen Thomas",United States,79602,0.1428,675,31653,Male,46,0.2939,Approve
LENDING-10082,"Robert Jackson",Japan,34372,0.4158,746,5000,Male,69,0.3210,Approve
LENDING-10083,"Richard Martinez",France,73169,0.3734,728,25733,Other,31,0.3085,Approve
LENDING-10084,"Sarah Thomas",United Kingdom,26492,0.3217,805,7037,Male,66,0.2324,Approve
LENDING-10085,"Robert Hernandez",United Kingdom,35073,0.1335,744,5600,Female,71,0.2381,Approve
LENDING-10086,"Joseph Brown",United States,10752,0.2738,669,5000,Other,47,0.3742,Approve
LENDING-10087,"James Jones",Canada,17765,0.2486,831,5000,Other,62,0.1864,Approve
LENDING-10088,"Susan Wilson",Germany,56993,0.3933,814,27584,Male,54,0.2288,Approve
LENDING-10089,"Linda Anderson",France,34650,0.1752,695,10651,Male,47,0.3043,Approve
LENDING-10090,"Linda Moore",Canada,91979,0.0593,719,27892,Male,69,0.2147,Approve
LENDING-10091,"Karen Thomas",Canada,17226,0.5546,706,5000,Female,23,0.4149,Reject
LENDING-10092,"Patricia Wilson",United States,20203,0.2889,473,6719,Female,26,0.5878,Reject
LENDING-10093,"James Garcia",United States,30041,0.2952,697,8910,Female,64,0.3404,Approve
LENDING-10094,"John Taylor",France,28784,0.3973,642,11554,Female,61,0.4317,Reject
LENDING-10095,"Charles Smith",France,51425,0.1686,640,21269,Male,52,0.3540,Reject
LENDING-10096,"Richard Rodriguez",Germany,48220,0.3890,650,19496,Other,41,0.4108,Reject
LENDING-10097,"Richard Lopez",Singapore,71004,0.2081,611,18980,Female,21,0.3877,Reject
LENDING-10098,"Karen Jackson",United States,17610,0.1550,747,5000,Male,77,0.2501,Approve
LENDING-10099,"Barbara Jones",United Kingdom,43570,0.4814,798,12728,Female,27,0.2794,Approve
LENDING-10100,"Linda Rodriguez",United Kingdom,31165,0.3661,662,5000,Other,47,0.3993,Approve
LENDING-10101,"Robert Johnson",Singapore,58908,0.4579,776,6832,Other,56,0.2886,Approve
LENDING-10102,"Susan Brown",Singapore,28989,0.3076,833,6799,Male,37,0.1963,Approve
LENDING-10103,"Richard Jones",United States,47555,0.6473,645,19737,Male,43,0.4940,Reject
LENDING-10104,"Karen Davis",United Kingdom,43633,0.2648,700,5000,Male,63,0.3213,Approve
LENDING-10105,"Richard Williams",Germany,45092,0.1750,647,18694,Other,40,0.3514,Reject
LENDING-10106,"Elizabeth Jackson",France,33433,0.1454,639,7439,Female,66,0.3571,Reject
LENDING-10107,"David Rodriguez",Germany,21771,0.0107,618,9628,Female,22,0.3454,Reject
LENDING-10108,"Charles Smith",Australia,28130,0.3666,747,5000,Female,35,0.3083,Approve
LENDING-10109,"Michael Brown",United States,70384,0.5198,809,30565,Male,66,0.2655,Reject
LENDING-10110,"Thomas Thomas",Canada,34273,0.3276,674,16966,Other,36,0.3731,Approve
LENDING-10111,"Jessica Jones",Australia,10903,0.4283,668,5000,Other,55,0.4216,Reject
LENDING-10112,"Thomas Jackson",Singapore,48888,0.3552,710,16692,Other,55,0.3348,Approve
LENDING-10113,"Thomas Brown",United Kingdom,27624,0.2818,718,12981,Female,19,0.3147,Approve
LENDING-10114,"James Hernandez",Germany,85930,0.4775,615,16917,Female,24,0.4566,Reject
LENDING-10115,"Susan Martin",Singapore,128546,0.4708,684,62015,Female,19,0.3581,Reject
LENDING-10116,"Linda Anderson",Singapore,57424,0.5046,609,22332,Other,43,0.4856,Reject
LENDING-10117,"David Anderson",Australia,25434,0.6806,570,5000,Other,55,0.5969,Reject
LENDING-10118,"Richard Jones",Germany,40069,0.2234,784,14411,Other,57,0.2190,Approve
LENDING-10119,"Mary Lopez",Japan,30913,0.3639,697,6248,Male,75,0.3606,Approve
LENDING-10120,"Mary Rodriguez",United States,33771,0.1628,631,16578,Male,47,0.3709,Reject
LENDING-10121,"Joseph Williams",Australia,36827,0.4099,511,16375,Other,41,0.5744,Reject
LENDING-10122,"Sarah Williams",United States,37661,0.2253,619,6434,Male,30,0.4008,Reject
LENDING-10123,"Thomas Taylor",United Kingdom,34760,0.0167,622,16558,Female,39,0.3364,Reject
LENDING-10124,"Michael Thomas",France,22683,0.3149,786,8477,Male,67,0.2529,Approve
LENDING-10125,"Michael Gonzalez",Australia,8560,0.4847,850,5000,Male,53,0.2411,Approve
LENDING-10126,"Sarah Hernandez",Canada,122637,0.3135,678,46443,Other,34,0.3204,Approve
LENDING-10127,"Jessica Brown",Australia,30330,0.2784,832,6733,Male,31,0.1880,Approve
LENDING-10128,"Elizabeth Brown",Singapore,20569,0.5097,667,5165,Other,55,0.4423,Reject
LENDING-10129,"Linda Johnson",France,27440,0.2027,616,9525,Female,69,0.4024,Reject
LENDING-10130,"Barbara Wilson",Singapore,50527,0.4269,764,24272,Female,34,0.2966,Approve
LENDING-10131,"Sarah Garcia",Japan,57008,0.3086,783,17606,Male,58,0.2372,Approve
LENDING-10132,"Michael Hernandez",Australia,48264,0.6470,667,9491,Female,69,0.4696,Reject
LENDING-10133,"Sarah Martin",Germany,43606,0.3112,754,13410,Other,75,0.2763,Approve
LENDING-10134,"John Lopez",Japan,28063,0.2735,716,10314,Other,49,0.3142,Approve
LENDING-10135,"Charles Gonzalez",Canada,79857,0.5147,676,38747,Other,67,0.4043,Reject
LENDING-10136,"Michael Williams",Germany,10096,0.1515,735,5000,Other,37,0.2659,Approve
LENDING-10137,"Mary Thomas",Australia,20902,0.2536,544,9283,Other,33,0.4994,Reject
LENDING-10138,"Jennifer Jones",Germany,39415,0.2852,659,6990,Other,74,0.3742,Approve
LENDING-10139,"Karen Anderson",Australia,27920,0.0528,684,5644,Male,43,0.2830,Approve
LENDING-10140,"James Rodriguez",France,43606,0.3720,557,15965,Male,68,0.5094,Reject
LENDING-10141,"Richard Rodriguez",Singapore,40971,0.1758,769,14578,Male,65,0.2206,Approve
LENDING-10142,"Sarah Anderson",Australia,34304,0.6633,733,8823,Male,67,0.4095,Reject
LENDING-10143,"Joseph Rodriguez",Canada,22538,0.6332,740,5200,Male,74,0.3987,Reject
LENDING-10144,"Karen Johnson",Australia,32241,0.3597,636,6648,Other,70,0.4252,Reject
LENDING-10145,"Elizabeth Martin",Australia,26213,0.2049,713,11998,Female,50,0.2978,Approve
LENDING-10146,"Susan Lopez",United Kingdom,43933,0.3485,726,13952,Male,66,0.3179,Approve
LENDING-10147,"Patricia Taylor",Germany,27372,0.2796,690,13598,Female,33,0.3447,Approve
LENDING-10148,"Jessica Thomas",Germany,65769,0.4446,850,18120,Male,55,0.2005,Approve
LENDING-10149,"Karen Jones",Japan,24573,0.3061,742,5000,Female,26,0.2974,Approve
LENDING-10150,"Susan Thomas",Japan,81082,0.1894,785,15103,Male,59,0.1872,Approve
LENDING-10151,"Susan Thomas",Australia,46615,0.4349,553,14266,Female,64,0.5312,Reject
LENDING-10152,"Linda Martin",Australia,33615,0.1803,735,6158,Female,32,0.2627,Approve
LENDING-10153,"Jessica Garcia",Australia,55592,0.2865,743,15057,Other,25,0.2749,Approve
LENDING-10154,"Elizabeth Garcia",France,117246,0.1905,694,26321,Male,20,0.2687,Approve
LENDING-10155,"Robert Johnson",Germany,63121,0.4467,611,10853,Female,28,0.4632,Reject
LENDING-10156,"Jessica Anderson",Canada,28327,0.2152,696,8982,Female,24,0.3184,Approve
LENDING-10157,"Susan Wilson",Germany,36887,0.3559,727,16090,Male,52,0.3225,Approve
LENDING-10158,"Sarah Williams",Australia,63073,0.4190,601,10638,Male,59,0.4658,Reject
LENDING-10159,"Charles Taylor",Canada,31932,0.1754,656,13285,Other,68,0.3483,Reject
LENDING-10160,"Thomas Anderson",Canada,54498,0.2714,615,14089,Other,65,0.4105,Reject
LENDING-10161,"Mary Williams",Singapore,12280,0.1034,673,5749,Male,33,0.3180,Approve
LENDING-10162,"Barbara Lopez",Canada,21723,0.3124,667,8261,Other,52,0.3825,Approve
LENDING-10163,"Elizabeth Jones",Singapore,94617,0.1415,666,40954,Female,27,0.2959,Approve
LENDING-10164,"Sarah Johnson",United Kingdom,39853,0.4539,729,6619,Other,37,0.3482,Approve
LENDING-10165,"Charles Anderson",France,45595,0.4193,690,6254,Other,70,0.3775,Reject
LENDING-10166,"David Gonzalez",Germany,26523,0.2592,788,5000,Female,59,0.2321,Approve
LENDING-10167,"Charles Taylor",Germany,27559,0.4819,593,8388,Other,44,0.5112,Reject
LENDING-10168,"Jessica Hernandez",France,68717,0.2845,751,27088,Male,61,0.2590,Approve
LENDING-10169,"Jessica Anderson",Germany,44326,0.1848,671,20958,Female,49,0.3285,Approve
LENDING-10170,"Mary Jackson",United States,20808,0.3051,664,8003,Female,65,0.3840,Approve
LENDING-10171,"Patricia Miller",France,28538,0.3644,579,12465,Female,71,0.4907,Reject
LENDING-10172,"William Smith",Singapore,30724,0.3213,653,7414,Male,24,0.3959,Reject
LENDING-10173,"John Moore",France,78901,0.4585,719,33112,Male,42,0.3410,Approve
LENDING-10174,"William Jones",France,64404,0.2647,738,11287,Female,24,0.2694,Approve
LENDING-10175,"Joseph Johnson",United States,62512,0.4588,776,29923,Other,33,0.2871,Approve
LENDING-10176,"Jessica Wilson",Australia,32420,0.4371,738,6560,Female,71,0.3371,Approve
LENDING-10177,"Robert Gonzalez",United States,61960,0.3931,791,22089,Male,53,0.2513,Approve
LENDING-10178,"William Lopez",Germany,45326,0.4247,689,22306,Female,32,0.3804,Reject
LENDING-10179,"Jessica Jones",Singapore,26576,0.2207,699,12682,Male,46,0.3176,Approve
LENDING-10180,"James Taylor",Japan,40720,0.3766,743,7453,Male,59,0.3093,Approve
LENDING-10181,"Michael Rodriguez",Japan,27535,0.4721,689,5484,Other,75,0.4035,Reject
LENDING-10182,"John Williams",Singapore,100133,0.5318,792,34064,Other,35,0.2727,Reject
LENDING-10183,"Patricia Wilson",Australia,39996,0.1582,836,18094,Female,54,0.1427,Approve
LENDING-10184,"Robert Williams",Canada,23982,0.3408,498,5000,Male,44,0.5742,Reject
LENDING-10185,"Barbara Taylor",Canada,124844,0.3145,678,15830,Female,51,0.3196,Approve
LENDING-10186,"Elizabeth Anderson",United States,28090,0.4299,707,12161,Other,71,0.3709,Reject
LENDING-10187,"Mary Davis",Australia,35069,0.2478,755,6659,Female,58,0.2604,Approve
LENDING-10188,"Richard Moore",United States,24868,0.4258,764,7598,Other,61,0.3091,Approve
LENDING-10189,"Patricia Wilson",Germany,20569,0.0114,735,8099,Female,63,0.2186,Approve
LENDING-10190,"Jennifer Thomas",United Kingdom,23340,0.2327,787,8300,Male,21,0.2269,Approve
LENDING-10191,"John Jackson",Japan,32156,0.0269,677,11532,Male,39,0.2807,Approve
LENDING-10192,"Mary Miller",Japan,21091,0.3097,735,5000,Other,72,0.3078,Approve
LENDING-10193,"Joseph Johnson",Australia,42553,0.4158,770,15250,Other,18,0.2907,Approve
LENDING-10194,"Karen Lopez",United States,48037,0.2104,569,23948,Other,24,0.4456,Reject
LENDING-10195,"Richard Gonzalez",Australia,41704,0.1739,676,8338,Male,19,0.3211,Approve
LENDING-10196,"Mary Williams",Singapore,16730,0.1195,850,5000,Other,74,0.1275,Approve
LENDING-10197,"Mary Johnson",United States,80005,0.3366,663,14630,Male,24,0.3650,Approve
LENDING-10198,"Patricia Miller",Japan,77187,0.2520,728,28350,Female,70,0.2701,Approve
LENDING-10199,"Sarah Martinez",Australia,32240,0.0971,670,10134,Male,38,0.3094,Approve
LENDING-10200,"Susan Thomas",Canada,38021,0.1704,592,5538,Male,67,0.4136,Reject
LENDING-10201,"James Taylor",Japan,41179,0.4367,564,18318,Other,63,0.5224,Reject
LENDING-10202,"Susan Wilson",Japan,13777,0.4035,676,5000,Male,25,0.4040,Approve
LENDING-10203,"Mary Smith",France,33738,0.2208,843,10396,Female,64,0.1570,Approve
LENDING-10204,"John Garcia",Canada,36469,0.2629,798,18194,Other,18,0.2174,Approve
LENDING-10205,"Jessica Davis",France,41938,0.3105,652,19230,Female,27,0.3882,Reject
LENDING-10206,"Richard Johnson",Japan,36397,0.2546,849,14018,Other,71,0.1593,Approve
LENDING-10207,"Richard Taylor",Singapore,71859,0.1791,559,29574,Other,22,0.4353,Reject
LENDING-10208,"Patricia Davis",Canada,39437,0.5445,657,13174,Male,37,0.4542,Reject
LENDING-10209,"Charles Jackson",Japan,31902,0.3480,850,7646,Male,50,0.1884,Approve
LENDING-10210,"David Garcia",Japan,37522,0.3912,677,14634,Other,25,0.3873,Approve
LENDING-10211,"Robert Garcia",Australia,9741,0.2333,794,5000,Other,69,0.2262,Approve
LENDING-10212,"Michael Williams",Japan,84870,0.4302,663,35697,Male,21,0.3906,Reject
LENDING-10213,"Barbara Thomas",Canada,44798,0.4825,729,19094,Female,58,0.3544,Approve
LENDING-10214,"Thomas Martinez",Japan,72759,0.5118,732,29526,Female,53,0.3459,Reject
LENDING-10215,"William Lopez",Canada,61812,0.4467,649,19877,Other,32,0.4224,Reject
LENDING-10216,"Jessica Anderson",United States,40636,0.2966,773,7702,Other,68,0.2527,Approve
LENDING-10217,"Jennifer Martin",Japan,43408,0.3969,677,14507,Female,25,0.3861,Approve
LENDING-10218,"Karen Brown",United Kingdom,47349,0.0612,693,7812,Male,41,0.2660,Approve
LENDING-10219,"William Taylor",United Kingdom,75718,0.3064,692,12191,Female,27,0.3264,Approve
LENDING-10220,"Linda Miller",United Kingdom,68919,0.2008,812,22880,Female,39,0.1672,Approve
LENDING-10221,"Thomas Miller",Canada,71031,0.2690,658,25123,Female,72,0.3546,Approve
LENDING-10222,"William Jones",France,35760,0.1726,784,7311,Other,48,0.2059,Approve
LENDING-10223,"Jennifer Thomas",Singapore,22709,0.2292,778,7573,Female,20,0.2360,Approve
LENDING-10224,"Charles Rodriguez",Australia,23754,0.3884,703,9938,Other,66,0.3650,Approve
LENDING-10225,"Jennifer Hernandez",Australia,25579,0.1662,696,8774,Male,77,0.3051,Approve
LENDING-10226,"Sarah Anderson",Japan,27907,0.2270,769,9974,Female,44,0.2425,Approve
LENDING-10227,"Linda Jackson",Singapore,25651,0.1862,662,5000,Other,54,0.3481,Approve
LENDING-10228,"Thomas Martin",Germany,28355,0.3181,843,12473,Male,66,0.1889,Approve
LENDING-10229,"Linda Williams",France,26288,0.3585,738,7394,Male,21,0.3166,Approve
LENDING-10230,"Thomas Martin",Germany,50278,0.0755,657,7596,Female,43,0.3081,Reject
LENDING-10231,"Thomas Johnson",Germany,9483,0.4145,652,5000,Other,31,0.4356,Reject
LENDING-10232,"Jennifer Anderson",Australia,44610,0.2475,631,9424,Other,75,0.3909,Reject
LENDING-10233,"Michael Martin",Canada,23472,0.3600,641,5000,Male,52,0.4243,Reject
LENDING-10234,"Elizabeth Gonzalez",Singapore,48845,0.3929,764,12569,Male,55,0.2873,Approve
LENDING-10235,"Sarah Miller",Canada,27366,0.2976,766,6950,Female,53,0.2672,Approve
LENDING-10236,"Linda Wilson",France,77557,0.4180,771,29470,Other,57,0.2728,Approve
LENDING-10237,"Michael Rodriguez",United Kingdom,13230,0.5192,581,5000,Other,19,0.5426,Reject
LENDING-10238,"James Thomas",United Kingdom,44277,0.3999,756,15103,Male,22,0.3004,Approve
LENDING-10239,"Robert Davis",Germany,18187,0.1752,844,6114,Male,55,0.1500,Approve
LENDING-10240,"Richard Anderson",Germany,91224,0.2978,727,21446,Female,62,0.2779,Approve
LENDING-10241,"Charles Brown",France,32028,0.2511,756,10835,Female,74,0.2619,Approve
LENDING-10242,"Linda Thomas",Australia,44907,0.5319,642,12772,Other,68,0.4640,Reject
LENDING-10243,"Thomas Moore",Germany,59885,0.0733,556,18377,Male,71,0.4128,Reject
LENDING-10244,"Mary Anderson",Canada,51291,0.2418,704,9806,Other,21,0.3062,Approve
LENDING-10245,"Mary Miller",France,38890,0.1071,760,12916,Other,49,0.2109,Approve
LENDING-10246,"William Thomas",Germany,70035,0.2155,795,24428,Female,38,0.1896,Approve
LENDING-10247,"Susan Jones",Singapore,17522,0.2442,739,5000,Other,66,0.2856,Approve
LENDING-10248,"Richard Davis",Germany,59799,0.4320,773,18437,Male,49,0.2837,Approve
LENDING-10249,"Mary Jones",Canada,34809,0.1431,748,5143,Female,33,0.2368,Approve
LENDING-10250,"Karen Brown",France,14093,0.6003,850,6077,Other,63,0.2730,Reject
LENDING-10251,"Susan Jackson",United States,47926,0.1540,726,13944,Other,32,0.2575,Approve
LENDING-10252,"Robert Jackson",Canada,37591,0.3964,690,7660,Male,23,0.3747,Approve
LENDING-10253,"James Johnson",Singapore,18492,0.1792,685,5000,Male,22,0.3245,Approve
LENDING-10254,"John Anderson",France,25123,0.3433,801,5000,Other,76,0.2439,Approve
LENDING-10255,"Sarah Martinez",United Kingdom,42724,0.4111,566,7687,Male,51,0.5118,Reject
LENDING-10256,"Charles Martin",Japan,18032,0.4191,738,5000,Male,67,0.3389,Approve
LENDING-10257,"Sarah Thomas",United States,50646,0.5139,643,24507,Female,26,0.4547,Reject
LENDING-10258,"Joseph Jackson",United Kingdom,22143,0.0335,752,8399,Other,39,0.2059,Approve
LENDING-10259,"Thomas Lopez",United Kingdom,27599,0.2771,718,5983,Female,45,0.3133,Approve
LENDING-10260,"Linda Martin",United Kingdom,25670,0.1305,618,5000,Male,30,0.3794,Reject
LENDING-10261,"Richard Taylor",France,53018,0.2505,770,24659,Female,18,0.2359,Approve
LENDING-10262,"Richard Brown",Canada,17236,0.3847,693,5000,Female,60,0.3781,Approve
LENDING-10263,"William Martin",Australia,50406,0.2588,661,23373,Other,35,0.3586,Approve
LENDING-10264,"Jessica Davis",France,38371,0.1852,714,15770,Other,75,0.2847,Approve
LENDING-10265,"Patricia Jones",Canada,37622,0.5134,508,13061,Male,75,0.6083,Reject
LENDING-10266,"David Moore",Australia,40699,0.3611,631,6608,Other,34,0.4269,Reject
LENDING-10267,"Charles Anderson",Canada,34578,0.1334,643,16686,Other,69,0.3485,Reject
LENDING-10268,"James Williams",Singapore,65794,0.3549,764,25763,Female,30,0.2674,Approve
LENDING-10269,"David Garcia",Singapore,34385,0.1871,850,16460,Male,43,0.1389,Approve
LENDING-10270,"Richard Williams",Australia,30595,0.1110,729,5000,Female,72,0.2500,Approve
LENDING-10271,"Thomas Hernandez",France,15677,0.3025,676,5093,Male,39,0.3727,Approve
LENDING-10272,"Jessica Jones",Germany,32848,0.1766,634,9694,Male,52,0.3722,Reject
LENDING-10273,"Linda Rodriguez",United States,54828,0.2500,762,25146,Other,62,0.2436,Approve
LENDING-10274,"David Gonzalez",Japan,38624,0.2769,625,7186,Other,35,0.4092,Reject
LENDING-10275,"Elizabeth Moore",Canada,49352,0.2307,737,18751,Male,74,0.2678,Approve
LENDING-10276,"James Jackson",United Kingdom,30258,0.1008,850,8319,Male,39,0.1151,Approve
LENDING-10277,"Mary Miller",France,40431,0.3284,633,6729,Other,47,0.4150,Reject
LENDING-10278,"James Johnson",Germany,27606,0.1478,754,13096,Male,20,0.2353,Approve
LENDING-10279,"Barbara Taylor",Germany,60445,0.3586,703,19816,Female,64,0.3377,Approve
LENDING-10280,"Charles Brown",Canada,46679,0.5218,827,16991,Other,51,0.2583,Reject
LENDING-10281,"Michael Williams",United States,23938,0.0528,734,9979,Other,46,0.2304,Approve
LENDING-10282,"Jennifer Martin",United Kingdom,7481,0.2473,847,5000,Female,23,0.1737,Approve
LENDING-10283,"James Miller",Canada,35171,0.3795,687,11184,Female,74,0.3741,Approve
LENDING-10284,"Linda Lopez",France,86197,0.4633,611,24468,Male,24,0.4566,Reject
LENDING-10285,"Karen Jones",France,50894,0.4090,611,15465,Female,45,0.4580,Reject
LENDING-10286,"Michael Jackson",Germany,31217,0.2185,615,7464,Other,27,0.4063,Reject
LENDING-10287,"Richard Miller",Germany,28649,0.1148,757,12908,Female,53,0.2216,Approve
LENDING-10288,"Robert Wilson",Canada,44495,0.1038,561,11930,Male,37,0.4242,Reject
